Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   InsSort (n=1000),786256,2285600,511056,36,1056,2.91,0.0%,4.6e-04,0.000581,0.6%,0.6%,0.5%,27.8%,0.71%
   InsSort (n=2000),3079326,9065836,2020560,116,2058,2.94,0.0%,2.3e-04,0.005293,0.1%,0.4%,0.4%,26.4%,0.12%
   InsSort (n=3000),6905226,20416946,4545788,274,3069,2.96,0.0%,1.5e-04,0.006177,0.2%,0.3%,0.3%,25.0%,0.16%
   InsSort (n=4000),12171700,36151256,8045156,420,4080,2.97,0.0%,1.1e-04,0.009458,1.3%,1.2%,1.2%,37.9%,0.10%
   InsSort (n=5000),18776868,55762688,12406250,3856,5070,2.97,0.0%,9.1e-05,0.014043,1.0%,1.0%,1.0%,2.2%,0.07%
   InsSort (n=6000),27298386,81020829,18022294,13090,6086,2.97,0.1%,7.5e-05,0.020430,1.7%,1.4%,1.4%,1.5%,0.18%
   InsSort (n=7000),36950269,109738477,24407168,31186,7102,2.97,0.1%,6.5e-05,0.025847,0.1%,0.0%,0.0%,0.7%,0.29%
   InsSort (n=8000),49121660,145155119,32281186,64258,8170,2.96,0.2%,5.6e-05,0.039375,0.3%,0.1%,0.1%,2.2%,0.04%
   InsSort (n=9000),61826012,182519992,40588018,91634,9120,2.95,0.2%,5.0e-05,0.047470,0.5%,0.4%,0.4%,0.4%,0.18%
   InsSort (n=10000),75577012,222598966,49497444,117492,10166,2.95,0.2%,4.6e-05,0.056697,0.2%,0.1%,0.1%,0.3%,0.34%
   BubSort (n=1000),4002622,3503873,1492930,92,1034,0.88,0.0%,3.0e-04,0.002889,0.0%,0.0%,0.9%,54.6%,0.29%
   BubSort (n=2000),16003033,14007373,6020574,240,2034,0.88,0.0%,1.5e-04,0.011579,0.0%,0.0%,0.6%,36.7%,0.32%
   BubSort (n=3000),35998484,31510873,13473544,311,3042,0.88,0.0%,9.7e-05,0.024618,0.0%,0.0%,0.6%,46.6%,0.35%
   BubSort (n=4000),64023168,56014373,24037450,811,4072,0.87,0.0%,7.3e-05,0.045947,0.0%,0.0%,0.1%,6.5%,0.28%
   BubSort (n=5000),100013344,87517873,37367246,33450,5061,0.88,0.1%,5.8e-05,0.069287,0.0%,0.0%,0.3%,0.6%,0.63%
   BubSort (n=6000),144017690,126021373,53996631,68542,6044,0.88,0.1%,4.8e-05,0.097324,0.0%,0.0%,0.0%,0.3%,0.04%
   BubSort (n=7000),195994383,171524873,73491960,122284,7034,0.88,0.2%,4.1e-05,0.131498,0.0%,0.0%,0.1%,2.0%,0.07%
   BubSort (n=8000),256095103,224028373,96274068,174657,8057,0.87,0.2%,3.6e-05,0.174157,0.0%,0.0%,0.1%,0.5%,0.14%
   BubSort (n=9000),324166680,283531873,121330268,224178,9056,0.87,0.2%,3.2e-05,0.220803,0.0%,0.0%,0.1%,0.0%,0.25%
   BubSort (n=10000),400136718,350035373,149724459,285766,10044,0.87,0.2%,2.9e-05,0.268285,0.0%,0.0%,0.0%,0.8%,0.02%
   QckSort (n=1000),69267,106934,34564,33,1280,1.54,0.1%,1.2e-02,0.000088,2.0%,1.4%,1.8%,0.0%,5.35%
   QckSort (n=2000),138656,233483,76422,26,2254,1.68,0.0%,9.7e-03,0.000133,1.0%,0.5%,3.5%,2.0%,2.77%
   QckSort (n=3000),214162,376442,120812,46,3070,1.76,0.0%,8.2e-03,0.000182,0.2%,0.3%,1.9%,16.1%,1.79%
   QckSort (n=4000),290135,517014,162278,52,3948,1.78,0.0%,7.6e-03,0.000237,1.0%,1.0%,0.9%,23.8%,0.62%
   QckSort (n=5000),376038,673674,204860,148,4938,1.79,0.1%,7.3e-03,0.000296,0.8%,0.1%,0.4%,26.1%,1.35%
   QckSort (n=6000),481178,884648,268198,208,5800,1.84,0.1%,6.6e-03,0.000363,3.7%,4.9%,2.5%,0.2%,0.16%
   QckSort (n=7000),528408,952603,305444,199,6560,1.80,0.1%,6.9e-03,0.000529,0.1%,1.3%,0.6%,5.0%,0.74%
   QckSort (n=8000),623302,1145868,362596,261,7392,1.84,0.1%,6.5e-03,0.000467,0.6%,1.6%,2.9%,1.5%,1.64%
   QckSort (n=9000),715716,1324802,433274,332,8271,1.85,0.1%,6.2e-03,0.000547,1.9%,1.7%,4.6%,16.7%,1.20%
   QckSort (n=10000),807196,1479673,456388,364,9032,1.83,0.1%,6.1e-03,0.000766,1.2%,2.0%,2.3%,3.4%,0.21%
