Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   InsSort (n=2000),3030585,8949330,1994802,124,2054,2.95,0.0%,2.3e-04,0.002291,0.9%,0.9%,0.9%,44.9%,0.90%
   InsSort (n=4000),12068654,35904352,7990516,214,4058,2.98,0.0%,1.1e-04,0.008451,1.2%,1.2%,1.2%,36.3%,0.27%
   InsSort (n=6000),27752966,81827121,18202184,24616,6090,2.95,0.1%,7.4e-05,0.024507,1.4%,1.2%,1.2%,3.4%,0.31%
   InsSort (n=8000),48659312,143595806,31935351,65389,8082,2.95,0.2%,5.6e-05,0.033580,1.1%,1.0%,1.0%,0.7%,0.04%
   InsSort (n=10000),76319363,224859307,50000725,99282,10106,2.95,0.2%,4.5e-05,0.054716,0.3%,0.3%,0.3%,1.3%,0.18%
   BubSort (n=2000),16005379,14007373,5959686,420,2034,0.88,0.0%,1.5e-04,0.011577,0.0%,0.0%,0.6%,25.5%,0.02%
   BubSort (n=4000),64034104,56014373,24063000,1508,4034,0.87,0.0%,7.2e-05,0.050294,0.0%,0.0%,0.5%,34.6%,0.15%
   BubSort (n=6000),144284950,126021373,53885127,75718,6062,0.87,0.1%,4.8e-05,0.106121,0.1%,0.0%,0.2%,0.7%,0.02%
   BubSort (n=8000),256158854,224028373,95823064,160316,8045,0.87,0.2%,3.6e-05,0.174098,0.0%,0.0%,0.2%,0.8%,0.05%
   BubSort (n=10000),401037997,350035373,149780260,255006,10048,0.87,0.2%,2.9e-05,0.272139,0.2%,0.0%,0.2%,1.2%,0.04%
   QckSort (n=2000),217857,236386,76588,30,2426,1.09,0.0%,1.0e-02,0.000185,19.8%,3.0%,0.7%,0.0%,7.87%
   QckSort (n=4000),410643,532827,180468,54,4148,1.30,0.0%,7.8e-03,0.000321,16.6%,4.4%,7.7%,51.9%,2.45%
   QckSort (n=6000),771632,804638,252686,130,5894,1.04,0.1%,7.3e-03,0.000553,4.9%,0.5%,2.5%,16.2%,2.39%
   QckSort (n=8000),1075908,1091719,351871,206,7634,1.01,0.1%,7.0e-03,0.000775,6.6%,1.2%,1.4%,4.1%,1.56%
   QckSort (n=10000),1409126,1500172,465732,346,9201,1.06,0.1%,6.1e-03,0.001225,6.2%,2.2%,3.3%,25.0%,0.82%
