Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   BubSort (n=1700),11594584,10121323,4330092,130,1729,0.87,0.0%,1.7e-04,0.010850,0.3%,0.0%,0.5%,50.4%,0.59%, 33.14%
   BubSort (n=1800),12970660,11346673,4859468,67,1820,0.87,0.0%,1.6e-04,0.009136,0.3%,0.0%,0.6%,61.9%,0.54%, 37.38%
   BubSort (n=1900),14453642,12642023,5410378,128,1927,0.87,0.0%,1.5e-04,0.010749,0.2%,0.0%,0.5%,67.3%,0.66%, 33.67%
   BubSort (n=2000),16022250,14007373,5995871,125,2024,0.87,0.0%,1.4e-04,0.011197,0.3%,0.0%,0.4%,71.7%,0.52%, 36.27%
   BubSort (n=2100),17670270,15442723,6601965,249,2141,0.87,0.0%,1.4e-04,0.013933,0.2%,0.0%,0.4%,37.0%,0.45%, 28.16%
   BubSort (n=2200),19373433,16948073,7270236,288,2236,0.87,0.0%,1.3e-04,0.013443,0.1%,0.0%,0.4%,73.8%,0.68%, 22.30%
   BubSort (n=2300),21210954,18523423,7917935,420,2342,0.87,0.0%,1.3e-04,0.019019,0.3%,0.0%,0.4%,56.7%,0.51%, 31.68%
   BubSort (n=2400),23108951,20168773,8645721,429,2454,0.87,0.0%,1.2e-04,0.024965,0.3%,0.0%,0.5%,46.5%,0.52%, 50.47%
   BubSort (n=2500),25072976,21884123,9357152,402,2548,0.87,0.0%,1.2e-04,0.026366,0.2%,0.0%,0.4%,51.6%,0.38%, 37.76%
   BubSort (n=2600),27061611,23669473,10137608,325,2636,0.87,0.0%,1.1e-04,0.020375,0.2%,0.0%,0.4%,72.3%,0.53%, 38.34%
   BubSort (n=2700),29168266,25524823,10921807,247,2729,0.88,0.0%,1.1e-04,0.019841,0.1%,0.0%,0.5%,53.2%,0.46%, 40.18%
   BubSort (n=2800),31361809,27450173,11760687,246,2838,0.88,0.0%,1.0e-04,0.021855,0.1%,0.0%,0.4%,34.2%,0.65%, 25.50%
   BubSort (n=2900),33655342,29445523,12606413,213,2925,0.87,0.0%,9.9e-05,0.020909,0.1%,0.0%,0.4%,29.0%,0.48%, 17.07%
   BubSort (n=3000),35992791,31510873,13488506,242,3019,0.88,0.0%,9.6e-05,0.020497,0.0%,0.0%,0.5%,25.1%,0.26%, 4.61%
   QckSort (n=100),7937,7694,2674,2,139,0.97,0.1%,1.8e-02,0.000036,14.8%,6.8%,8.8%,36.9%,12.10%, 19.45%
   QckSort (n=200),16910,17307,5852,7,226,1.02,0.1%,1.3e-02,0.000039,15.7%,5.5%,7.3%,6.1%,5.35%, 14.19%
   QckSort (n=300),28880,27663,8813,7,310,0.96,0.1%,1.1e-02,0.000047,12.6%,7.0%,5.9%,5.4%,4.71%, 14.26%
   QckSort (n=400),35545,38670,12668,7,406,1.09,0.1%,1.1e-02,0.000052,15.9%,4.2%,7.1%,15.7%,4.76%, 20.99%
   QckSort (n=500),41124,49647,16307,7,508,1.21,0.0%,1.0e-02,0.000053,9.9%,5.5%,8.8%,4.5%,3.60%, 8.29%
   QckSort (n=600),52330,60307,19585,7,584,1.15,0.0%,9.7e-03,0.000061,16.2%,5.2%,6.0%,10.1%,3.75%, 14.59%
   QckSort (n=700),73931,73396,24093,7,676,0.99,0.0%,9.2e-03,0.000071,9.9%,4.9%,6.6%,7.1%,3.38%, 7.16%
   QckSort (n=800),76806,84543,27347,7,763,1.10,0.0%,9.0e-03,0.000075,11.1%,5.8%,8.3%,24.6%,3.01%, 13.76%
   QckSort (n=900),83050,94864,31246,7,854,1.14,0.0%,9.0e-03,0.000079,7.4%,3.9%,6.6%,15.4%,3.06%, 11.39%
   QckSort (n=1000),115618,111612,35728,11,943,0.97,0.0%,8.4e-03,0.000096,7.5%,6.9%,5.4%,6.4%,2.81%, 8.51%
   QckSort (n=1100),121939,121617,39176,12,1018,1.00,0.0%,8.4e-03,0.000099,8.8%,3.7%,5.8%,13.6%,2.61%, 7.73%
   QckSort (n=1200),135269,134874,42566,16,1120,1.00,0.0%,8.3e-03,0.000113,10.2%,3.0%,3.4%,48.3%,2.37%, 19.18%
   QckSort (n=1300),142520,145175,46658,12,1208,1.02,0.0%,8.3e-03,0.000112,10.2%,4.2%,5.0%,23.6%,2.10%, 9.13%
   QckSort (n=1400),166416,161286,51038,13,1296,0.97,0.0%,8.0e-03,0.000127,6.0%,3.6%,5.2%,16.9%,2.01%, 9.14%
   QckSort (n=1500),182359,173386,55245,14,1532,0.95,0.0%,8.8e-03,0.000136,7.0%,5.7%,6.0%,40.0%,7.75%, 7.74%
   QckSort (n=1600),167248,183073,58690,14,1540,1.09,0.0%,8.4e-03,0.000129,7.3%,3.6%,4.5%,36.9%,2.75%, 8.42%
   QckSort (n=1700),192390,198134,63702,13,1597,1.03,0.0%,8.1e-03,0.000142,9.5%,2.6%,4.6%,19.2%,2.39%, 7.00%
   QckSort (n=1800),222308,213364,68297,13,1652,0.96,0.0%,7.7e-03,0.000162,4.6%,3.3%,5.6%,29.2%,2.31%, 13.17%
   QckSort (n=1900),228688,226428,73078,15,1726,0.99,0.0%,7.6e-03,0.000165,7.7%,3.9%,5.9%,29.0%,2.45%, 8.36%
   QckSort (n=2000),237403,240330,76696,22,2031,1.01,0.0%,8.4e-03,0.000196,8.9%,3.5%,7.3%,51.9%,5.06%, 30.62%
   QckSort (n=2100),239507,255329,82126,22,1987,1.07,0.0%,7.8e-03,0.000179,5.2%,3.9%,5.3%,69.8%,1.84%, 15.53%
   QckSort (n=2200),259727,265395,85190,21,2040,1.02,0.0%,7.7e-03,0.000189,7.0%,3.7%,6.2%,63.2%,1.83%, 11.91%
   QckSort (n=2300),285243,285120,91744,24,2107,1.00,0.0%,7.4e-03,0.000210,8.0%,4.9%,6.3%,65.5%,1.57%, 25.02%
   QckSort (n=2400),308147,299532,96416,34,2272,0.97,0.0%,7.6e-03,0.000221,7.1%,3.9%,5.2%,37.7%,4.58%, 11.29%
   QckSort (n=2500),294203,313933,100932,43,2324,1.07,0.0%,7.4e-03,0.000216,8.8%,4.5%,6.8%,30.1%,2.63%, 21.20%
   QckSort (n=2600),327840,327924,103970,62,2371,1.00,0.1%,7.2e-03,0.000242,9.2%,5.3%,6.0%,21.7%,1.90%, 20.35%
   QckSort (n=2700),339073,336612,108493,64,2552,0.99,0.1%,7.6e-03,0.000379,6.6%,4.1%,6.3%,28.0%,3.20%, 164.33%
   QckSort (n=2800),334130,354147,113175,63,2606,1.06,0.1%,7.4e-03,0.000294,7.3%,3.3%,4.5%,29.5%,4.10%, 64.53%
   QckSort (n=2900),384146,368681,118214,62,2657,0.96,0.1%,7.2e-03,0.000255,4.2%,2.9%,3.9%,13.4%,2.20%, 4.49%
   QckSort (n=3000),378657,380815,121966,69,2704,1.01,0.1%,7.1e-03,0.000383,6.5%,3.9%,6.7%,23.4%,1.67%, 112.61%
