Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   InsSort (n=100),11797,24217,5862,2,123,2.05,0.0%,5.1e-03,0.000038,3.8%,5.4%,5.0%,145.6%,7.81%, 22.47%
   InsSort (n=200),36283,91085,21006,8,229,2.51,0.0%,2.5e-03,0.000452,3.9%,4.4%,4.3%,28.8%,2.61%, 386.62%
   InsSort (n=300),76339,204446,46485,7,332,2.68,0.0%,1.6e-03,0.000072,2.8%,3.1%,3.0%,4.3%,1.78%, 4.74%
   InsSort (n=400),134141,370864,83742,7,434,2.76,0.0%,1.2e-03,0.000107,2.8%,3.1%,3.0%,21.0%,1.25%, 7.08%
   InsSort (n=500),203832,565440,127233,10,537,2.77,0.0%,9.5e-04,0.000240,4.3%,2.5%,2.5%,100.7%,1.06%, 161.08%
   InsSort (n=600),290456,812404,182420,15,639,2.80,0.0%,7.9e-04,0.000497,4.5%,2.5%,2.4%,97.2%,1.08%, 150.03%
   InsSort (n=700),396305,1118731,250773,14,739,2.82,0.0%,6.6e-04,0.000410,4.5%,2.7%,2.7%,107.8%,0.90%, 112.93%
   InsSort (n=800),506787,1452562,325236,16,839,2.87,0.0%,5.8e-04,0.000739,2.7%,2.2%,2.2%,118.8%,1.17%, 160.24%
   InsSort (n=900),632230,1820745,407321,14,941,2.88,0.0%,5.2e-04,0.000524,2.7%,2.1%,2.0%,119.0%,0.75%, 74.47%
   InsSort (n=1000),771695,2240384,500855,14,1039,2.90,0.0%,4.6e-04,0.000509,2.0%,2.2%,2.2%,135.8%,0.49%, 19.77%
   InsSort (n=1100),944760,2743520,612948,23,1143,2.90,0.0%,4.2e-04,0.001600,2.1%,1.9%,1.9%,118.1%,0.64%, 226.20%
   InsSort (n=1200),1122311,3250492,725892,29,1250,2.90,0.0%,3.8e-04,0.003801,2.2%,1.9%,1.9%,107.2%,0.77%, 161.65%
   InsSort (n=1300),1310172,3808116,850084,38,1348,2.91,0.0%,3.5e-04,0.001663,1.7%,1.4%,1.4%,108.9%,0.72%, 109.35%
   InsSort (n=1400),1519100,4433803,989419,66,1447,2.92,0.0%,3.3e-04,0.001642,1.8%,1.8%,1.8%,171.0%,0.73%, 108.35%
   InsSort (n=1500),1725921,5046953,1125933,28,1546,2.92,0.0%,3.1e-04,0.001328,1.8%,1.6%,1.6%,121.9%,0.55%, 58.02%
   InsSort (n=1600),1985917,5799068,1293364,35,1647,2.92,0.0%,2.8e-04,0.002429,1.7%,1.2%,1.2%,99.8%,0.48%, 78.34%
   InsSort (n=1700),2217170,6508781,1451341,31,1746,2.94,0.0%,2.7e-04,0.001775,1.6%,1.5%,1.5%,98.7%,0.59%, 60.56%
   InsSort (n=1800),2489898,7317906,1631428,38,1847,2.94,0.0%,2.5e-04,0.002178,1.9%,1.7%,1.7%,107.0%,0.40%, 102.85%
   InsSort (n=1900),2781247,8133527,1812972,64,1955,2.92,0.0%,2.4e-04,0.006096,1.3%,1.4%,1.4%,61.6%,0.48%, 73.69%
   InsSort (n=2000),3076330,9015056,2009151,64,2052,2.93,0.0%,2.3e-04,0.003653,1.5%,1.2%,1.2%,73.9%,0.31%, 84.80%
   InsSort (n=2100),3360111,9898740,2205789,47,2152,2.95,0.0%,2.2e-04,0.004007,1.0%,1.1%,1.1%,68.6%,0.40%, 124.77%
   InsSort (n=2200),3724674,10972397,2444668,76,2253,2.95,0.0%,2.1e-04,0.003287,1.3%,1.3%,1.3%,74.3%,0.44%, 60.01%
   InsSort (n=2300),4022440,11863386,2642945,71,2347,2.95,0.0%,2.0e-04,0.003801,1.5%,1.3%,1.3%,77.4%,0.44%, 84.72%
   InsSort (n=2400),4437872,13025257,2901445,118,2458,2.94,0.0%,1.9e-04,0.005496,1.4%,1.5%,1.5%,59.6%,0.47%, 72.43%
   InsSort (n=2500),4772388,14023863,3123636,143,2561,2.94,0.0%,1.8e-04,0.004909,1.4%,1.2%,1.2%,41.0%,0.37%, 53.43%
   InsSort (n=2600),5163471,15242940,3394788,104,2655,2.95,0.0%,1.7e-04,0.005711,1.3%,1.2%,1.2%,44.4%,0.37%, 70.39%
   InsSort (n=2700),5553488,16388777,3649722,145,2757,2.95,0.0%,1.7e-04,0.004467,1.6%,1.4%,1.4%,51.2%,0.30%, 44.69%
   InsSort (n=2800),5992952,17690508,3939272,123,2858,2.95,0.0%,1.6e-04,0.005404,1.2%,1.2%,1.2%,33.7%,0.28%, 44.19%
   InsSort (n=2900),6413235,18933108,4215683,124,2956,2.95,0.0%,1.6e-04,0.006182,1.3%,1.2%,1.2%,53.5%,0.26%, 38.55%
   InsSort (n=3000),6847850,20249180,4508459,232,3056,2.96,0.0%,1.5e-04,0.004688,1.7%,1.5%,1.5%,96.4%,0.25%, 31.47%
   BubSort (n=100),41062,35723,15202,2,111,0.87,0.0%,3.1e-03,0.000061,0.8%,0.0%,1.9%,192.8%,4.21%, 42.75%
   BubSort (n=200),162589,141073,59713,15,211,0.87,0.0%,1.5e-03,0.000177,2.7%,0.0%,1.5%,75.9%,1.62%, 43.13%
   BubSort (n=300),360434,316423,134485,6,309,0.88,0.0%,9.8e-04,0.000243,0.1%,0.0%,1.0%,78.2%,0.82%, 9.19%
   BubSort (n=400),640243,561773,241072,7,408,0.88,0.0%,7.3e-04,0.000417,0.2%,0.0%,1.0%,102.9%,1.08%, 12.46%
   BubSort (n=500),1002226,877123,373933,10,509,0.88,0.0%,5.8e-04,0.000801,0.7%,0.0%,0.9%,111.4%,1.10%, 72.50%
   BubSort (n=600),1447708,1262473,538426,16,620,0.87,0.0%,4.9e-04,0.005199,1.1%,0.0%,0.8%,116.0%,1.33%, 152.48%
   BubSort (n=700),1963638,1717823,736116,16,717,0.87,0.0%,4.2e-04,0.002076,0.6%,0.0%,0.9%,117.6%,1.08%, 104.33%
   BubSort (n=800),2577435,2243173,959935,43,819,0.87,0.0%,3.6e-04,0.002911,0.7%,0.0%,0.7%,85.0%,0.87%, 43.28%
   BubSort (n=900),3255769,2838523,1211354,36,925,0.87,0.0%,3.3e-04,0.009115,0.6%,0.0%,0.7%,75.1%,0.92%, 90.75%
   BubSort (n=1000),4001912,3503873,1494225,27,1019,0.88,0.0%,2.9e-04,0.004537,0.2%,0.0%,0.7%,67.6%,0.84%, 100.79%
   BubSort (n=1100),4846896,4239223,1815655,39,1117,0.87,0.0%,2.6e-04,0.004103,0.3%,0.0%,0.6%,66.4%,0.64%, 56.80%
   BubSort (n=1200),5766270,5044573,2157925,41,1214,0.87,0.0%,2.4e-04,0.004525,0.3%,0.0%,0.6%,70.8%,0.65%, 53.95%
   BubSort (n=1300),6779615,5919923,2531468,75,1330,0.87,0.0%,2.2e-04,0.007882,0.2%,0.0%,0.5%,53.0%,0.68%, 27.98%
   BubSort (n=1400),7862629,6865273,2940160,143,1439,0.87,0.0%,2.1e-04,0.011480,0.2%,0.0%,0.6%,109.9%,1.43%, 34.63%
   BubSort (n=1500),9021778,7880623,3365993,99,1532,0.87,0.0%,1.9e-04,0.010229,0.3%,0.0%,0.5%,47.4%,0.41%, 29.36%
   BubSort (n=1600),10279673,8965973,3842746,100,1626,0.87,0.0%,1.8e-04,0.009571,0.7%,0.0%,0.4%,90.7%,0.76%, 59.03%
