Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   InsSort (n=1000),794382,2278113,509389,59,1060,2.87,0.0%,4.7e-04,0.001375,2.3%,0.7%,0.7%,47.1%,1.21%
   InsSort (n=2000),3070933,8988413,2003326,95,2055,2.93,0.0%,2.3e-04,0.002580,2.2%,1.8%,1.8%,18.6%,0.46%
   InsSort (n=3000),7023508,20584658,4583102,284,3065,2.93,0.0%,1.5e-04,0.007319,0.8%,0.8%,0.8%,10.7%,0.22%
   InsSort (n=4000),12157392,36013989,8014720,568,4081,2.96,0.0%,1.1e-04,0.009644,1.2%,1.1%,1.1%,21.2%,0.29%
   InsSort (n=5000),19083610,56579873,12587761,806,5097,2.96,0.0%,9.0e-05,0.016343,1.1%,0.9%,0.9%,51.4%,0.35%
   InsSort (n=6000),27455548,81451472,18117696,3506,6104,2.97,0.0%,7.5e-05,0.022339,0.7%,0.7%,0.7%,3.6%,0.29%
   InsSort (n=7000),36796960,109374923,24325879,12788,7079,2.97,0.1%,6.5e-05,0.025711,1.0%,1.0%,1.0%,4.0%,0.22%
   InsSort (n=8000),48101333,142854218,31768989,22537,8089,2.97,0.1%,5.7e-05,0.034436,0.5%,0.6%,0.6%,1.1%,0.12%
   InsSort (n=9000),61652316,182951597,40682758,40840,9095,2.97,0.1%,5.0e-05,0.043473,0.9%,0.6%,0.6%,6.8%,0.14%
   InsSort (n=10000),75605270,224111772,49832475,67714,10113,2.96,0.1%,4.5e-05,0.052330,0.4%,0.3%,0.3%,0.6%,0.11%
   InsSort (n=11000),91794625,271836959,60441824,103494,11127,2.96,0.2%,4.1e-05,0.064780,0.1%,0.2%,0.2%,1.5%,0.16%
   InsSort (n=12000),109357286,324171084,72074374,144354,12092,2.96,0.2%,3.7e-05,0.073697,0.3%,0.2%,0.2%,1.6%,0.05%
