Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,Time_RSD%
Insertion Sort (n=10000),75801285,225363843,50110930,43084,2.97,0.1%,0.054765,0.7%,0.8%,0.8%,2.5%,6.22%
Insertion Sort (n=11000),92391206,274711063,61080208,80122,2.97,0.1%,0.063001,0.5%,0.4%,0.4%,1.0%,1.73%
Insertion Sort (n=12000),109478124,324548447,72158408,113638,2.96,0.2%,0.076310,0.7%,0.7%,0.7%,1.8%,2.68%
Insertion Sort (n=13000),128493747,380409639,84575405,160476,2.96,0.2%,0.098338,0.3%,0.4%,0.4%,0.8%,12.49%
Insertion Sort (n=14000),148941098,439830940,97785150,215742,2.95,0.2%,0.109590,0.6%,0.7%,0.7%,1.6%,5.76%
Insertion Sort (n=15000),171843870,507932839,112922219,274392,2.96,0.2%,0.120964,0.4%,0.5%,0.5%,0.8%,1.89%
Insertion Sort (n=16000),194872827,576019863,128056058,332482,2.96,0.3%,0.133556,0.3%,0.2%,0.2%,0.8%,1.03%
Insertion Sort (n=17000),220838255,652232688,144995921,391794,2.95,0.3%,0.152794,0.2%,0.3%,0.3%,0.6%,2.34%
Insertion Sort (n=18000),246399419,727108543,161638433,443287,2.95,0.3%,0.168899,0.7%,0.5%,0.5%,1.1%,1.25%
Insertion Sort (n=19000),276094102,816302705,181462810,501885,2.96,0.3%,0.188149,0.4%,0.4%,0.4%,0.6%,0.67%
Insertion Sort (n=20000),304101825,897143939,199431038,547475,2.95,0.3%,0.208024,1.0%,1.0%,1.0%,1.0%,1.51%
Bubble Sort (n=10000),400206612,350035283,149965646,153475,0.87,0.1%,0.277329,0.0%,0.0%,0.2%,1.3%,2.24%
Bubble Sort (n=11000),484391458,423538783,181766264,208120,0.87,0.1%,0.339447,0.0%,0.0%,0.3%,1.1%,3.04%
Bubble Sort (n=12000),576494890,504042283,216415414,264408,0.87,0.1%,0.410073,0.0%,0.0%,0.1%,0.7%,5.64%
Bubble Sort (n=13000),676572460,591545783,253590880,336448,0.87,0.1%,0.462830,0.0%,0.0%,0.1%,1.0%,0.75%
Bubble Sort (n=14000),784388586,686049283,293947992,403987,0.87,0.1%,0.533016,0.0%,0.0%,0.1%,0.9%,0.38%
Bubble Sort (n=15000),900604552,787552783,338041993,468419,0.87,0.1%,0.613226,0.0%,0.0%,0.1%,0.1%,1.37%
Bubble Sort (n=16000),1024569073,896056283,383843864,540566,0.87,0.1%,0.688980,0.0%,0.0%,0.1%,0.1%,0.37%
Bubble Sort (n=17000),1158064644,1011559783,432967644,619957,0.87,0.1%,0.789586,0.2%,0.0%,0.2%,0.7%,1.27%
Bubble Sort (n=18000),1297422439,1134063283,486136890,702724,0.87,0.1%,0.881424,0.0%,0.0%,0.1%,0.5%,0.66%
Bubble Sort (n=19000),1445828843,1263566783,541288282,777050,0.87,0.1%,1.011695,0.1%,0.0%,0.1%,0.8%,4.24%
Bubble Sort (n=20000),1601169509,1400070283,599823607,841941,0.87,0.1%,1.072997,0.0%,0.0%,0.1%,0.1%,0.15%
Quick Sort (n=10000),1538050,1483021,450916,225,0.96,0.0%,0.001073,6.1%,5.4%,3.9%,32.1%,6.08%
Quick Sort (n=11000),1674897,1642776,505413,270,0.98,0.1%,0.001181,4.7%,3.4%,2.4%,14.2%,5.33%
Quick Sort (n=12000),1873673,1797154,570791,341,0.96,0.1%,0.001320,5.3%,3.0%,3.6%,31.5%,5.43%
Quick Sort (n=13000),1934568,1925636,608479,362,1.00,0.1%,0.001404,5.7%,2.1%,3.0%,12.7%,5.40%
Quick Sort (n=14000),2209913,2151665,671383,506,0.97,0.1%,0.001546,6.0%,3.3%,5.0%,19.9%,5.08%
Quick Sort (n=15000),2315614,2343592,731655,503,1.01,0.1%,0.001637,4.0%,3.6%,2.7%,27.8%,4.74%
Quick Sort (n=16000),2556204,2545532,806276,621,1.00,0.1%,0.001860,5.9%,3.6%,4.4%,16.3%,7.19%
Quick Sort (n=17000),2694538,2664662,826946,537,0.99,0.1%,0.001891,3.6%,1.4%,3.3%,17.8%,4.53%
Quick Sort (n=18000),3000836,2859753,881870,615,0.95,0.1%,0.002125,4.2%,2.9%,3.7%,8.5%,4.32%
Quick Sort (n=19000),2982820,3005136,938423,619,1.01,0.1%,0.002113,2.6%,1.8%,4.8%,21.6%,5.42%
Quick Sort (n=20000),3252584,3219587,988278,769,0.99,0.1%,0.002277,7.1%,4.0%,3.3%,17.8%,8.07%
