Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,Time_RSD%
Insertion Sort (n=10000),76533833,225363843,50112701,144297,2.94,0.3%,0.058761,0.8%,0.8%,0.8%,1.7%
Insertion Sort (n=12000),110162205,325139085,72291214,210607,2.95,0.3%,0.075171,0.7%,0.6%,0.6%,1.3%
Insertion Sort (n=14000),149379186,440850385,98011851,301655,2.95,0.3%,0.104096,0.4%,0.4%,0.4%,1.1%
Insertion Sort (n=16000),194928207,574551072,127729325,393525,2.95,0.3%,0.133108,0.9%,0.8%,0.8%,1.1%
Insertion Sort (n=18000),247213590,730578351,162408507,506896,2.96,0.3%,0.165860,0.2%,0.2%,0.2%,0.3%
Insertion Sort (n=20000),303539908,897886165,199594778,629348,2.96,0.3%,0.203383,0.3%,0.3%,0.3%,0.5%
Bubble Sort (n=10000),400160697,350035283,149812225,242615,0.87,0.2%,0.271393,0.0%,0.0%,0.1%,0.2%
Bubble Sort (n=12000),576326633,504042283,216036122,340816,0.87,0.2%,0.387396,0.0%,0.0%,0.2%,0.6%
Bubble Sort (n=14000),784418667,686049283,294025358,473769,0.87,0.2%,0.525850,0.0%,0.0%,0.1%,0.0%
Bubble Sort (n=16000),1024623823,896056283,383996437,619493,0.87,0.2%,0.686682,0.0%,0.0%,0.1%,0.0%
Bubble Sort (n=18000),1297017014,1134063283,486557557,775853,0.87,0.2%,0.877019,0.0%,0.0%,0.3%,0.0%
Bubble Sort (n=20000),1601662124,1400070283,599049778,970196,0.87,0.2%,1.075846,0.1%,0.0%,0.2%,0.0%
Quick Sort (n=10000),1323602,1467531,469061,308,1.11,0.1%,0.000922,14.1%,2.8%,3.7%,28.8%
Quick Sort (n=12000),1771320,1804263,568263,408,1.02,0.1%,0.001252,5.3%,5.1%,7.6%,20.7%
Quick Sort (n=14000),2025055,2144363,650315,437,1.06,0.1%,0.001423,6.4%,2.9%,2.6%,18.6%
Quick Sort (n=16000),2537509,2527012,780265,633,1.00,0.1%,0.001761,7.8%,4.3%,6.6%,23.7%
Quick Sort (n=18000),2798880,2808904,877013,659,1.00,0.1%,0.001957,6.6%,3.6%,4.2%,16.5%
Quick Sort (n=20000),3071214,3238118,992076,883,1.05,0.1%,0.002139,5.7%,4.1%,5.2%,15.0%
