Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   InsSort (n=100),11738,24217,5873,11,127,2.06,0.2%,5.2e-03,0.000037,3.7%,5.4%,5.0%,53.5%,8.00%, 16.37%
   InsSort (n=200),36315,91085,20995,14,227,2.51,0.1%,2.5e-03,0.000049,3.8%,4.4%,4.3%,4.2%,1.91%, 2.56%
   InsSort (n=300),76400,204446,46476,16,331,2.68,0.0%,1.6e-03,0.000073,2.7%,3.1%,3.0%,13.6%,1.48%, 9.70%
   InsSort (n=400),134104,370864,83742,16,432,2.77,0.0%,1.2e-03,0.000104,2.8%,3.1%,3.0%,6.6%,1.43%, 3.09%
   InsSort (n=500),201585,565440,127248,18,534,2.80,0.0%,9.4e-04,0.000162,2.5%,2.5%,2.5%,58.4%,1.12%, 51.25%
   InsSort (n=600),286347,812404,182394,18,644,2.84,0.0%,7.9e-04,0.000210,2.6%,2.5%,2.4%,40.5%,0.72%, 23.37%
   InsSort (n=700),394862,1118731,250775,25,741,2.83,0.0%,6.6e-04,0.000363,3.3%,2.7%,2.7%,85.9%,1.06%, 66.51%
   InsSort (n=800),506436,1452562,325242,40,841,2.87,0.0%,5.8e-04,0.000430,2.3%,2.2%,2.2%,72.7%,0.70%, 37.18%
   InsSort (n=900),629529,1820745,407318,22,940,2.89,0.0%,5.2e-04,0.000459,2.0%,2.1%,2.0%,55.4%,0.64%, 32.59%
   InsSort (n=1000),772011,2240384,500858,31,1039,2.90,0.0%,4.6e-04,0.000501,2.1%,2.2%,2.2%,52.3%,0.59%, 15.40%
   InsSort (n=1100),942971,2743520,612949,29,1142,2.91,0.0%,4.2e-04,0.000605,1.8%,1.9%,1.9%,66.7%,0.82%, 16.52%
   InsSort (n=1200),1113332,3250492,725899,33,1244,2.92,0.0%,3.8e-04,0.000688,1.9%,1.9%,1.9%,84.2%,0.69%, 11.68%
   InsSort (n=1300),1305020,3808116,850152,89,1345,2.92,0.0%,3.5e-04,0.000848,1.5%,1.4%,1.4%,73.2%,0.41%, 10.02%
   InsSort (n=1400),1518948,4433803,989459,71,1442,2.92,0.0%,3.3e-04,0.001006,1.8%,1.8%,1.8%,65.1%,0.59%, 15.38%
   InsSort (n=1500),1723203,5046953,1125981,71,1544,2.93,0.0%,3.1e-04,0.001115,1.7%,1.6%,1.6%,70.1%,0.50%, 17.26%
   InsSort (n=1600),1977426,5799068,1293426,96,1643,2.93,0.0%,2.8e-04,0.001266,1.3%,1.2%,1.2%,59.5%,0.38%, 12.30%
   InsSort (n=1700),2221687,6508781,1451396,86,1745,2.93,0.0%,2.7e-04,0.001536,1.7%,1.5%,1.5%,56.2%,0.57%, 18.43%
   InsSort (n=1800),2488893,7317906,1631463,74,1847,2.94,0.0%,2.5e-04,0.001601,1.7%,1.7%,1.7%,51.4%,0.46%, 12.46%
   InsSort (n=1900),2762858,8133527,1812986,75,1945,2.94,0.0%,2.4e-04,0.001716,1.4%,1.4%,1.4%,51.6%,0.36%, 10.22%
   InsSort (n=2000),3060890,9015056,2009197,98,2047,2.95,0.0%,2.3e-04,0.001888,1.2%,1.2%,1.2%,68.7%,0.34%, 8.00%
   InsSort (n=2100),3354625,9898740,2205823,72,2146,2.95,0.0%,2.2e-04,0.002003,1.2%,1.1%,1.1%,42.8%,0.36%, 3.83%
   InsSort (n=2200),3725609,10972397,2444732,117,2251,2.95,0.0%,2.1e-04,0.002665,1.2%,1.3%,1.3%,44.0%,0.41%, 33.30%
   InsSort (n=2300),4022514,11863386,2643030,149,2346,2.95,0.0%,2.0e-04,0.002501,1.3%,1.3%,1.3%,54.7%,0.32%, 8.31%
   InsSort (n=2400),4407937,13025257,2901490,134,2448,2.95,0.0%,1.9e-04,0.002602,1.5%,1.5%,1.5%,58.2%,0.30%, 3.18%
   InsSort (n=2500),4743900,14023863,3123656,116,2545,2.96,0.0%,1.8e-04,0.002823,1.2%,1.2%,1.2%,37.7%,0.25%, 3.81%
   InsSort (n=2600),5152589,15242940,3394872,145,2648,2.96,0.0%,1.7e-04,0.003050,1.3%,1.2%,1.2%,64.4%,0.35%, 4.43%
   InsSort (n=2700),5532365,16388777,3649780,156,2750,2.96,0.0%,1.7e-04,0.003248,1.4%,1.4%,1.4%,75.5%,0.25%, 3.79%
   InsSort (n=2800),5986026,17690508,3939401,210,2852,2.96,0.0%,1.6e-04,0.003802,1.2%,1.2%,1.2%,54.3%,0.27%, 19.05%
   InsSort (n=2900),6392850,18933108,4215776,181,2951,2.96,0.0%,1.6e-04,0.003826,1.1%,1.2%,1.2%,47.9%,0.24%, 8.54%
   InsSort (n=3000),6833234,20249180,4508515,218,3049,2.96,0.0%,1.5e-04,0.004002,1.5%,1.5%,1.5%,43.9%,0.22%, 2.98%
   BubSort (n=100),44000,35723,15212,10,110,0.81,0.1%,3.1e-03,0.000055,5.5%,0.0%,1.9%,4.3%,3.25%, 15.76%
   BubSort (n=200),160714,141073,59685,15,211,0.88,0.0%,1.5e-03,0.000126,0.2%,0.0%,1.5%,17.2%,0.68%, 11.41%
   BubSort (n=300),371740,316423,134487,17,307,0.85,0.0%,9.7e-04,0.000245,5.2%,0.0%,1.0%,20.4%,0.61%, 5.76%
   BubSort (n=400),640196,561773,241088,25,407,0.88,0.0%,7.2e-04,0.000406,0.1%,0.0%,1.0%,24.1%,0.52%, 4.61%
   BubSort (n=500),1000012,877123,373958,31,505,0.88,0.0%,5.8e-04,0.000622,0.1%,0.0%,0.9%,34.7%,0.42%, 6.91%
   BubSort (n=600),1469874,1262473,538428,36,609,0.86,0.0%,4.8e-04,0.000905,4.4%,0.0%,0.8%,47.0%,0.35%, 5.68%
   BubSort (n=700),1960289,1717823,736138,43,708,0.88,0.0%,4.1e-04,0.001227,0.2%,0.0%,0.9%,35.7%,0.43%, 14.83%
   BubSort (n=800),2559912,2243173,959937,50,809,0.88,0.0%,3.6e-04,0.001543,0.2%,0.0%,0.7%,47.2%,0.25%, 3.67%
   BubSort (n=900),3241847,2838523,1211384,72,911,0.88,0.0%,3.2e-04,0.002071,0.2%,0.0%,0.7%,52.5%,0.43%, 17.07%
   BubSort (n=1000),4020849,3503873,1494300,126,1022,0.87,0.0%,2.9e-04,0.004112,0.5%,0.0%,0.7%,63.9%,0.58%, 50.67%
   BubSort (n=1100),4849638,4239223,1815712,129,1114,0.87,0.0%,2.6e-04,0.003322,0.3%,0.0%,0.6%,89.7%,0.51%, 22.56%
   BubSort (n=1200),5767854,5044573,2157993,133,1214,0.87,0.0%,2.4e-04,0.003866,0.3%,0.0%,0.6%,88.9%,0.43%, 21.00%
   BubSort (n=1300),6762550,5919923,2531525,147,1314,0.88,0.0%,2.2e-04,0.004174,0.2%,0.0%,0.5%,76.9%,0.42%, 16.18%
   BubSort (n=1400),7861209,6865273,2940180,155,1413,0.87,0.0%,2.1e-04,0.004576,1.2%,0.0%,0.6%,82.9%,0.24%, 3.85%
   BubSort (n=1500),8996552,7880623,3366021,140,1509,0.88,0.0%,1.9e-04,0.005131,0.0%,0.0%,0.5%,109.9%,0.20%, 1.67%
   BubSort (n=1600),10233983,8965973,3842793,143,1612,0.88,0.0%,1.8e-04,0.005834,0.0%,0.0%,0.4%,96.7%,0.27%, 2.25%
   BubSort (n=1700),11556822,10121323,4330144,198,1709,0.88,0.0%,1.7e-04,0.006570,0.1%,0.0%,0.5%,75.3%,0.21%, 1.20%
   BubSort (n=1800),12957004,11346673,4859582,217,1812,0.88,0.0%,1.6e-04,0.007394,0.0%,0.0%,0.6%,81.6%,0.22%, 1.34%
   BubSort (n=1900),14433844,12642023,5410469,272,1912,0.88,0.0%,1.5e-04,0.008205,0.1%,0.0%,0.5%,105.7%,0.15%, 1.60%
   BubSort (n=2000),15994399,14007373,5995960,236,2008,0.88,0.0%,1.4e-04,0.009061,0.0%,0.0%,0.4%,85.4%,0.16%, 1.23%
   BubSort (n=2100),17633343,15442723,6601937,256,2110,0.88,0.0%,1.4e-04,0.009981,0.0%,0.0%,0.4%,94.9%,0.17%, 1.37%
   BubSort (n=2200),19345541,16948073,7270161,261,2210,0.88,0.0%,1.3e-04,0.010931,0.0%,0.0%,0.4%,100.6%,0.16%, 1.33%
   BubSort (n=2300),21146954,18523423,7917795,330,2309,0.88,0.0%,1.2e-04,0.011962,0.1%,0.0%,0.4%,102.3%,0.16%, 2.39%
   BubSort (n=2400),23033765,20168773,8645640,378,2416,0.88,0.0%,1.2e-04,0.013082,0.1%,0.0%,0.5%,80.0%,0.12%, 1.09%
   BubSort (n=2500),24988897,21884123,9357139,325,2515,0.88,0.0%,1.1e-04,0.014097,0.0%,0.0%,0.4%,71.5%,0.20%, 1.03%
   BubSort (n=2600),27029855,23669473,10137657,358,2612,0.88,0.0%,1.1e-04,0.015293,0.0%,0.0%,0.4%,76.9%,0.15%, 1.70%
   BubSort (n=2700),29146695,25524823,10921953,412,2711,0.88,0.0%,1.1e-04,0.016422,0.1%,0.0%,0.5%,103.5%,0.17%, 1.09%
   BubSort (n=2800),31346488,27450173,11760802,389,2812,0.88,0.0%,1.0e-04,0.017601,0.0%,0.0%,0.4%,74.9%,0.14%, 0.66%
   BubSort (n=2900),33633157,29445523,12606566,423,2914,0.88,0.0%,9.9e-05,0.019027,0.0%,0.0%,0.4%,74.0%,0.17%, 0.82%
   BubSort (n=3000),35996576,31510873,13488752,665,3014,0.88,0.0%,9.6e-05,0.020411,0.0%,0.0%,0.5%,70.0%,0.19%, 1.26%
   QckSort (n=100),8324,7694,2689,11,134,0.92,0.4%,1.7e-02,0.000035,15.5%,6.8%,8.3%,4.6%,13.51%, 24.90%
   QckSort (n=200),16415,17307,5849,14,226,1.05,0.2%,1.3e-02,0.000039,18.4%,5.5%,7.4%,6.4%,5.45%, 10.25%
   QckSort (n=300),28651,27663,8814,17,316,0.97,0.2%,1.1e-02,0.000047,13.7%,7.0%,6.0%,13.3%,5.70%, 13.96%
   QckSort (n=400),38086,38670,12646,22,411,1.02,0.2%,1.1e-02,0.000052,14.4%,4.2%,7.2%,3.8%,4.34%, 13.04%
   QckSort (n=500),49626,49647,16272,26,503,1.00,0.2%,1.0e-02,0.000059,12.6%,5.5%,8.8%,14.4%,4.06%, 13.03%
   QckSort (n=600),54703,60307,19577,26,583,1.10,0.1%,9.7e-03,0.000060,17.7%,5.2%,6.0%,2.5%,3.94%, 8.92%
   QckSort (n=700),69868,73396,24107,25,676,1.05,0.1%,9.2e-03,0.000071,9.8%,4.9%,6.6%,12.7%,3.72%, 13.53%
   QckSort (n=800),84184,84543,27331,26,763,1.00,0.1%,9.0e-03,0.000078,11.2%,5.8%,8.2%,2.2%,2.26%, 8.16%
   QckSort (n=900),92937,94864,31222,25,855,1.02,0.1%,9.0e-03,0.000085,9.2%,3.9%,6.6%,13.2%,2.76%, 8.14%
   QckSort (n=1000),108403,111612,35695,22,943,1.03,0.1%,8.5e-03,0.000095,14.5%,6.9%,5.4%,11.6%,2.54%, 13.23%
   QckSort (n=1100),124976,121617,39146,22,1027,0.97,0.1%,8.4e-03,0.000104,5.7%,3.7%,5.8%,17.5%,2.84%, 7.71%
   QckSort (n=1200),129928,134874,42550,24,1118,1.04,0.1%,8.3e-03,0.000109,8.7%,3.0%,3.4%,27.7%,2.32%, 10.26%
   QckSort (n=1300),138031,145175,46653,29,1219,1.05,0.1%,8.4e-03,0.000121,9.7%,4.2%,5.0%,35.1%,1.83%, 11.91%
   QckSort (n=1400),155080,161286,51027,23,1309,1.04,0.0%,8.1e-03,0.000131,6.0%,3.6%,5.2%,20.2%,2.86%, 15.92%
   QckSort (n=1500),169990,173386,55264,30,1534,1.02,0.1%,8.8e-03,0.000175,9.1%,5.7%,6.0%,28.8%,7.32%, 68.24%
   QckSort (n=1600),176985,183073,58639,24,1527,1.03,0.0%,8.3e-03,0.000141,9.2%,3.6%,4.4%,23.1%,2.71%, 14.13%
   QckSort (n=1700),185787,198134,63697,29,1609,1.07,0.0%,8.1e-03,0.000155,11.5%,2.6%,4.6%,55.0%,1.79%, 29.33%
   QckSort (n=1800),210683,213364,68295,23,1669,1.01,0.0%,7.8e-03,0.000165,8.5%,3.3%,5.6%,23.7%,2.60%, 16.40%
   QckSort (n=1900),230028,226428,73064,23,1744,0.98,0.0%,7.7e-03,0.000180,7.3%,3.9%,5.9%,15.1%,2.19%, 23.72%
   QckSort (n=2000),229611,240330,76553,27,1848,1.05,0.0%,7.7e-03,0.000168,6.9%,3.5%,7.3%,26.5%,1.65%, 13.26%
   QckSort (n=2100),256992,255329,82044,25,1932,0.99,0.0%,7.6e-03,0.000185,6.1%,3.9%,5.3%,13.4%,1.92%, 7.01%
   QckSort (n=2200),257654,265395,85135,31,2015,1.03,0.0%,7.6e-03,0.000197,8.3%,3.7%,6.2%,34.0%,1.95%, 29.06%
   QckSort (n=2300),292462,285120,91686,35,2093,0.97,0.0%,7.3e-03,0.000209,8.2%,4.9%,6.3%,18.4%,1.88%, 13.66%
   QckSort (n=2400),308523,299532,96341,40,2191,0.97,0.0%,7.3e-03,0.000220,6.2%,3.9%,5.2%,17.1%,1.52%, 17.56%
   QckSort (n=2500),309210,313933,100876,41,2269,1.02,0.0%,7.2e-03,0.000217,9.7%,4.5%,6.8%,25.2%,1.30%, 11.04%
   QckSort (n=2600),327399,327924,103935,40,2357,1.00,0.0%,7.2e-03,0.000236,9.1%,5.3%,6.0%,17.4%,1.41%, 14.62%
   QckSort (n=2700),326730,336612,108378,41,2425,1.03,0.0%,7.2e-03,0.000241,8.1%,4.1%,6.3%,34.7%,1.98%, 20.57%
   QckSort (n=2800),332689,354147,113109,46,2525,1.06,0.0%,7.1e-03,0.000253,5.4%,3.3%,4.5%,37.4%,1.70%, 22.15%
   QckSort (n=2900),350861,368681,118187,47,2626,1.05,0.0%,7.1e-03,0.000254,8.3%,2.9%,3.9%,35.1%,1.60%, 13.87%
   QckSort (n=3000),352114,380815,122136,45,2952,1.08,0.0%,7.8e-03,0.000248,6.8%,3.9%,6.8%,16.9%,6.82%, 10.43%
