Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,Time_RSD%
Insertion Sort (n=10000),76481674,224692424,49963064,111444,2.94,0.2%,0.065309,0.5%,0.4%,0.4%,1.6%,7.27%
Insertion Sort (n=11000),93148346,274693591,61077714,158389,2.95,0.3%,0.070421,1.0%,0.8%,0.8%,1.8%,5.04%
Insertion Sort (n=12000),109572432,323501298,71926747,195595,2.95,0.3%,0.077182,0.8%,0.8%,0.8%,1.4%,4.60%
Insertion Sort (n=13000),128457318,378904902,84241597,234282,2.95,0.3%,0.088262,0.2%,0.2%,0.2%,0.3%,2.01%
Insertion Sort (n=14000),150041972,442070531,98282171,292207,2.95,0.3%,0.104817,0.2%,0.1%,0.1%,0.7%,1.64%
Insertion Sort (n=15000),171800396,505248218,112325187,346157,2.94,0.3%,0.119908,0.5%,0.5%,0.5%,1.0%,1.08%
Insertion Sort (n=16000),195782364,576756344,128218839,402041,2.95,0.3%,0.134343,0.5%,0.6%,0.6%,1.4%,0.35%
Insertion Sort (n=17000),221334552,653391703,145252388,474143,2.95,0.3%,0.149759,0.3%,0.2%,0.2%,0.2%,0.32%
Insertion Sort (n=18000),247055317,729847049,162245407,539264,2.95,0.3%,0.165417,0.5%,0.4%,0.4%,0.6%,0.61%
Insertion Sort (n=19000),276139826,816272891,181454312,599215,2.96,0.3%,0.184761,0.1%,0.2%,0.2%,0.3%,0.19%
Insertion Sort (n=20000),304061958,898503540,199731327,663257,2.96,0.3%,0.204163,0.3%,0.3%,0.3%,0.8%,0.46%
Insertion Sort (n=21000),335533711,992003047,220512198,730550,2.96,0.3%,0.224954,0.2%,0.2%,0.2%,0.5%,0.15%
Insertion Sort (n=22000),368999261,1090660153,242439335,808633,2.96,0.3%,0.247278,0.2%,0.2%,0.2%,0.4%,0.29%
Insertion Sort (n=23000),403737384,1193800954,265362832,884414,2.96,0.3%,0.270805,0.5%,0.5%,0.5%,0.4%,0.47%
Insertion Sort (n=24000),438595896,1297093382,288320004,959499,2.96,0.3%,0.293536,0.3%,0.2%,0.2%,0.5%,0.29%
Insertion Sort (n=25000),476104251,1400036866,311199631,1028033,2.94,0.3%,0.319993,0.4%,0.2%,0.2%,0.4%,0.49%
Insertion Sort (n=26000),519229478,1520996893,338083031,1102065,2.93,0.3%,0.350793,0.1%,0.1%,0.1%,0.1%,0.51%
Insertion Sort (n=27000),557748986,1637867162,364057473,1172403,2.94,0.3%,0.375655,0.7%,0.7%,0.7%,0.4%,0.74%
Insertion Sort (n=28000),605264137,1767785691,392934133,1241415,2.92,0.3%,0.414350,0.3%,0.3%,0.3%,0.3%,1.97%
Insertion Sort (n=29000),651461819,1885372346,419071185,1297848,2.89,0.3%,0.499786,0.7%,0.5%,0.5%,0.6%,6.04%
Insertion Sort (n=30000),691414833,2030342761,451284628,1373441,2.94,0.3%,0.474928,0.3%,0.4%,0.4%,0.6%,1.18%
Bubble Sort (n=10000),400146128,350035283,149707130,319608,0.87,0.2%,0.269303,0.0%,0.0%,0.0%,0.3%,0.34%
Bubble Sort (n=11000),484297341,423538783,181539871,410018,0.87,0.2%,0.327736,0.0%,0.0%,0.1%,0.3%,0.81%
Bubble Sort (n=12000),578036963,504042283,216038246,496355,0.87,0.2%,0.491044,0.2%,0.0%,0.0%,0.6%,13.44%
Bubble Sort (n=13000),679953605,591545783,253372264,587094,0.87,0.2%,0.725290,0.2%,0.0%,0.2%,0.3%,16.86%
Bubble Sort (n=14000),788988922,686049283,294060911,688753,0.87,0.2%,0.801659,0.2%,0.0%,0.1%,0.8%,15.74%
Bubble Sort (n=15000),902145198,787552783,338132553,777827,0.87,0.2%,0.643126,0.1%,0.0%,0.1%,0.5%,2.65%
Bubble Sort (n=16000),1025309625,896056283,383418999,872116,0.87,0.2%,0.710481,0.0%,0.0%,0.1%,0.4%,0.92%
Bubble Sort (n=17000),1157373257,1011559783,433407058,953368,0.87,0.2%,0.787256,0.0%,0.0%,0.1%,0.2%,0.68%
Bubble Sort (n=18000),1297419159,1134063283,486377818,1024804,0.87,0.2%,0.880057,0.0%,0.0%,0.1%,0.4%,0.58%
Bubble Sort (n=19000),1445540391,1263566783,541204635,1102149,0.87,0.2%,0.978563,0.0%,0.0%,0.0%,0.1%,0.50%
Bubble Sort (n=20000),1601728079,1400070283,600701231,1175230,0.87,0.2%,1.082801,0.1%,0.0%,0.1%,0.5%,0.81%
Bubble Sort (n=21000),1765801059,1543573783,662237498,1250726,0.87,0.2%,1.184251,0.0%,0.0%,0.1%,0.0%,0.31%
Bubble Sort (n=22000),1937872194,1694077283,726323113,1328085,0.87,0.2%,1.300793,0.0%,0.0%,0.1%,0.0%,0.33%
Bubble Sort (n=23000),2118004712,1851580783,792825119,1412253,0.87,0.2%,1.419155,0.0%,0.0%,0.1%,0.1%,0.24%
Bubble Sort (n=24000),2306602604,2016084283,863796088,1497617,0.87,0.2%,1.545510,0.1%,0.0%,0.2%,0.1%,0.21%
Bubble Sort (n=25000),2502924024,2187587783,937819705,1585848,0.87,0.2%,1.675993,0.1%,0.0%,0.1%,0.1%,0.26%
Bubble Sort (n=26000),2707574037,2366091283,1013713786,1676775,0.87,0.2%,1.813961,0.1%,0.0%,0.1%,0.1%,0.19%
Bubble Sort (n=27000),2923941615,2551594783,1092845599,1772535,0.87,0.2%,2.039467,0.3%,0.0%,0.1%,0.1%,6.07%
Bubble Sort (n=28000),3140627088,2744098283,1176136276,1869711,0.87,0.2%,2.104528,0.1%,0.0%,0.1%,0.0%,0.22%
Bubble Sort (n=29000),3372382401,2943601783,1260149229,1966629,0.87,0.2%,2.266866,0.1%,0.0%,0.1%,0.1%,0.57%
Bubble Sort (n=30000),3606317601,3150105283,1349135377,2000748,0.87,0.1%,2.414117,0.1%,0.0%,0.1%,0.0%,0.26%
Quick Sort (n=10000),814667,1509632,483325,269,1.85,0.1%,0.000583,4.9%,4.8%,5.4%,29.6%,3.73%
Quick Sort (n=11000),858689,1602525,498880,292,1.87,0.1%,0.000620,0.9%,1.2%,1.2%,26.4%,3.02%
Quick Sort (n=12000),955449,1787978,558277,270,1.87,0.0%,0.000690,1.2%,1.3%,2.0%,10.6%,3.29%
Quick Sort (n=13000),1042341,1964248,613571,370,1.88,0.1%,0.000753,1.0%,1.2%,2.1%,12.1%,2.61%
Quick Sort (n=14000),1115796,2099850,651254,393,1.88,0.1%,0.000809,0.5%,0.1%,0.9%,17.3%,2.75%
Quick Sort (n=15000),1223252,2320084,754620,473,1.90,0.1%,0.000877,1.7%,2.5%,2.9%,19.3%,1.03%
Quick Sort (n=16000),1264216,2390340,739959,511,1.89,0.1%,0.000913,1.5%,1.3%,1.0%,12.6%,3.00%
Quick Sort (n=17000),1376821,2612706,801633,505,1.90,0.1%,0.000982,3.0%,3.4%,4.8%,10.5%,3.50%
Quick Sort (n=18000),1478173,2826152,881763,591,1.91,0.1%,0.001052,1.0%,0.9%,1.4%,16.1%,1.25%
Quick Sort (n=19000),1540618,2950568,907339,621,1.92,0.1%,0.001087,1.3%,1.3%,3.0%,5.0%,2.43%
Quick Sort (n=20000),1648097,3167724,954508,603,1.92,0.1%,0.001156,1.3%,1.6%,1.4%,18.9%,1.31%
Quick Sort (n=21000),1752323,3300739,988302,722,1.88,0.1%,0.001261,0.7%,1.1%,2.2%,12.4%,1.40%
Quick Sort (n=22000),1869444,3523928,1079331,783,1.89,0.1%,0.001353,0.6%,1.6%,3.1%,9.3%,1.48%
Quick Sort (n=23000),1930940,3662237,1092616,918,1.90,0.1%,0.001384,1.1%,1.4%,1.0%,5.7%,2.60%
Quick Sort (n=24000),2072673,3828699,1173384,819,1.85,0.1%,0.001497,2.2%,1.0%,4.1%,6.9%,3.27%
Quick Sort (n=25000),2157989,4146901,1274718,828,1.92,0.1%,0.001526,2.2%,1.4%,1.8%,6.2%,3.17%
Quick Sort (n=26000),2242571,4163142,1277086,907,1.86,0.1%,0.001621,1.6%,0.4%,2.4%,2.4%,2.36%
Quick Sort (n=27000),2434366,4712303,1417224,1217,1.94,0.1%,0.001705,1.6%,1.6%,2.5%,4.1%,1.75%
Quick Sort (n=28000),2470641,4601844,1408027,1115,1.86,0.1%,0.001826,2.2%,1.6%,1.3%,10.2%,5.83%
Quick Sort (n=29000),2589892,4890430,1489718,1085,1.89,0.1%,0.001852,1.1%,1.2%,5.1%,9.8%,1.60%
Quick Sort (n=30000),2700810,5130126,1587118,1127,1.90,0.1%,0.002393,4.2%,2.4%,5.0%,15.7%,31.32%
