Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,Time_RSD%
Insertion Sort (n=10000),76632391,225363843,50113191,102125,2.94,0.2%,0.063928,0.7%,0.8%,0.8%,1.8%
Insertion Sort (n=12000),110246577,325139085,72292227,141421,2.95,0.2%,0.081146,0.5%,0.6%,0.6%,1.2%
Insertion Sort (n=14000),149293801,440850385,98012472,242599,2.95,0.2%,0.103039,0.4%,0.4%,0.4%,1.0%
Insertion Sort (n=16000),195477133,574551072,127730966,339447,2.94,0.3%,0.137188,0.8%,0.8%,0.8%,1.1%
Insertion Sort (n=18000),248202005,730578351,162409824,447044,2.94,0.3%,0.176123,0.3%,0.2%,0.2%,0.6%
Insertion Sort (n=20000),304861873,897886165,199594279,539902,2.95,0.3%,0.207831,0.4%,0.3%,0.3%,0.5%
Bubble Sort (n=10000),401223672,350035283,149811668,400746,0.87,0.3%,0.273854,0.4%,0.0%,0.1%,0.0%
Bubble Sort (n=12000),577671871,504042283,216036111,604637,0.87,0.3%,0.389839,0.1%,0.0%,0.2%,0.0%
Bubble Sort (n=14000),785023586,686049283,294025403,822413,0.87,0.3%,0.528284,0.1%,0.0%,0.1%,0.0%
Bubble Sort (n=16000),1025982066,896056283,383996239,1005611,0.87,0.3%,0.689591,0.1%,0.0%,0.1%,0.0%
Bubble Sort (n=18000),1304709461,1134063283,486562428,1196561,0.87,0.2%,1.069963,0.5%,0.0%,0.3%,0.5%
Bubble Sort (n=20000),1604245042,1400070283,599049881,1405438,0.87,0.2%,1.093255,0.1%,0.0%,0.2%,0.0%
Quick Sort (n=10000),1396460,1467531,468837,412,1.05,0.1%,0.000984,13.1%,2.8%,3.7%,29.4%
Quick Sort (n=12000),1684878,1804263,567690,507,1.07,0.1%,0.001179,8.0%,5.1%,7.6%,37.8%
Quick Sort (n=14000),1854974,2144363,649724,533,1.16,0.1%,0.001308,19.4%,2.9%,2.6%,22.3%
Quick Sort (n=16000),2427851,2527012,779174,661,1.04,0.1%,0.001689,11.5%,4.3%,6.6%,11.6%
Quick Sort (n=18000),2187209,2808904,875953,677,1.28,0.1%,0.001557,19.9%,3.6%,4.2%,18.9%
Quick Sort (n=20000),2377506,3238118,990854,791,1.36,0.1%,0.001662,24.9%,4.1%,5.2%,13.7%
