Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,Time_RSD%
Insertion Sort (n=10000),76505490,225363843,50111557,57459,2.95,0.1%,0.085327,0.8%,0.8%,0.8%,3.3%
Insertion Sort (n=11000),93074980,274711063,61081412,101769,2.95,0.2%,0.070518,0.4%,0.4%,0.4%,1.9%
Insertion Sort (n=12000),110086948,324548447,72159541,138392,2.95,0.2%,0.083892,0.7%,0.7%,0.7%,1.6%
Insertion Sort (n=13000),128665972,380409639,84576192,176901,2.96,0.2%,0.089015,0.3%,0.4%,0.4%,1.5%
Insertion Sort (n=14000),148631718,439830940,97784748,216798,2.96,0.2%,0.104535,0.7%,0.7%,0.7%,1.8%
Insertion Sort (n=15000),171601806,507932839,112920916,258996,2.96,0.2%,0.115463,0.6%,0.5%,0.5%,1.5%
Insertion Sort (n=16000),194572128,576019863,128054647,305770,2.96,0.2%,0.130728,0.2%,0.2%,0.2%,0.4%
Insertion Sort (n=17000),220398765,652232688,144994437,367776,2.96,0.3%,0.151153,0.3%,0.3%,0.3%,0.8%
Insertion Sort (n=18000),245859312,727108543,161637144,423990,2.96,0.3%,0.169120,0.6%,0.5%,0.5%,1.1%
Insertion Sort (n=19000),278471473,816302705,181461776,495004,2.93,0.3%,0.205271,0.4%,0.4%,0.4%,0.6%
Insertion Sort (n=20000),303184865,897143939,199429035,560218,2.96,0.3%,0.206443,0.9%,1.0%,1.0%,1.2%
Bubble Sort (n=10000),400114919,350035283,149961601,329626,0.87,0.2%,0.268220,0.0%,0.0%,0.2%,0.2%
Bubble Sort (n=11000),484144659,423538783,181761575,425857,0.87,0.2%,0.324418,0.0%,0.0%,0.3%,0.1%
Bubble Sort (n=12000),576180425,504042283,216410603,512238,0.87,0.2%,0.386073,0.0%,0.0%,0.1%,0.2%
Bubble Sort (n=13000),676260084,591545783,253585341,590782,0.87,0.2%,0.454071,0.0%,0.0%,0.1%,0.1%
Bubble Sort (n=14000),784281087,686049283,293943574,672109,0.87,0.2%,0.525226,0.0%,0.0%,0.1%,0.1%
Bubble Sort (n=15000),900344379,787552783,338041892,755870,0.87,0.2%,0.602763,0.0%,0.0%,0.1%,0.1%
Bubble Sort (n=16000),1024558917,896056283,383843691,842960,0.87,0.2%,0.685820,0.0%,0.0%,0.1%,0.1%
Bubble Sort (n=17000),1156711231,1011559783,432962647,932761,0.87,0.2%,0.774394,0.0%,0.0%,0.2%,0.1%
Bubble Sort (n=18000),1296688462,1134063283,486128130,1025701,0.87,0.2%,0.867832,0.0%,0.0%,0.1%,0.1%
Bubble Sort (n=19000),1444817083,1263566783,541280200,1121389,0.87,0.2%,0.966757,0.0%,0.0%,0.1%,0.1%
Bubble Sort (n=20000),1600957768,1400070283,599823853,1220326,0.87,0.2%,1.076154,0.0%,0.0%,0.1%,0.1%
Quick Sort (n=10000),1460517,1483021,449838,317,1.02,0.1%,0.001028,7.0%,5.4%,3.9%,14.2%
Quick Sort (n=11000),1584292,1642776,504276,371,1.04,0.1%,0.001159,4.6%,3.4%,2.3%,31.1%
Quick Sort (n=12000),1577636,1797154,569473,403,1.14,0.1%,0.001827,15.1%,3.0%,3.6%,30.6%
Quick Sort (n=13000),1670501,1925636,607171,380,1.15,0.1%,0.001194,13.9%,2.1%,3.0%,11.8%
Quick Sort (n=14000),1569990,2151665,669761,568,1.37,0.1%,0.001165,22.6%,3.3%,5.0%,18.0%
Quick Sort (n=15000),1801375,2343592,729856,546,1.30,0.1%,0.001537,23.3%,3.6%,2.7%,13.6%
Quick Sort (n=16000),1947977,2545532,804768,673,1.31,0.1%,0.001405,12.8%,3.6%,4.4%,12.7%
Quick Sort (n=17000),2540110,2664662,825549,541,1.05,0.1%,0.001771,14.4%,1.4%,3.3%,24.2%
Quick Sort (n=18000),2777007,2859753,880373,676,1.03,0.1%,0.001941,5.1%,2.9%,3.7%,10.5%
Quick Sort (n=19000),2852551,3005136,935660,715,1.05,0.1%,0.002008,11.6%,1.8%,4.7%,13.2%
Quick Sort (n=20000),2590856,3219587,985626,842,1.24,0.1%,0.001843,18.9%,4.0%,3.4%,14.8%
