Workload,Cycles,Instructions,CacheRefs,CacheMiss,BranchMisses,IPC,CacheMiss%,BranchMissPerInstr,Time(s),Cycles_RSD,Instrs_RSD,CacheRefs_RSD,CacheMiss_RSD,BranchMisses_RSD,Time_RSD%
   BubSort (n=16000),1024717932,896056373,383685610,760987,16045,0.87,0.2%,1.8e-05,0.687496,0.0%,0.0%,0.1%,0.1%,0.09%
   BubSort (n=17000),1156647018,1011559873,433216136,849464,17040,0.87,0.2%,1.7e-05,0.774241,0.0%,0.0%,0.1%,0.0%,0.06%
   BubSort (n=18000),1297559508,1134063373,485734504,940628,18059,0.87,0.2%,1.6e-05,0.888717,0.0%,0.0%,0.3%,0.0%,0.04%
   BubSort (n=19000),1444800656,1263566873,541404900,1034165,19058,0.87,0.2%,1.5e-05,0.967251,0.0%,0.0%,0.1%,0.1%,0.03%
   BubSort (n=20000),1601128040,1400070373,599787849,1130897,20063,0.87,0.2%,1.4e-05,1.072454,0.0%,0.0%,0.1%,0.0%,0.00%
   QckSort (n=1000),68279,105663,32919,11,1230,1.55,0.0%,1.2e-02,0.000094,6.4%,3.1%,1.8%,4.2%,8.04%
   QckSort (n=2000),138235,233646,77106,26,2173,1.69,0.0%,9.3e-03,0.000137,1.0%,1.5%,3.3%,9.5%,2.14%
   QckSort (n=3000),213551,373759,120776,33,3056,1.75,0.0%,8.2e-03,0.000200,3.9%,4.7%,6.6%,32.4%,1.60%
   QckSort (n=4000),297437,526667,173011,43,4018,1.77,0.0%,7.6e-03,0.000252,1.1%,0.8%,0.5%,2.9%,0.96%
   QckSort (n=5000),375273,670681,215040,103,4798,1.79,0.0%,7.2e-03,0.000330,1.9%,0.9%,4.2%,19.6%,2.44%
   QckSort (n=6000),461239,835529,267420,148,5691,1.81,0.1%,6.8e-03,0.000374,1.1%,1.2%,4.0%,11.0%,1.28%
   QckSort (n=7000),550085,1007303,321671,230,6515,1.83,0.1%,6.5e-03,0.000434,4.5%,5.8%,7.8%,39.8%,1.80%
   QckSort (n=8000),621037,1135537,366471,152,7310,1.83,0.0%,6.4e-03,0.000533,1.3%,2.2%,4.8%,23.5%,1.17%
   QckSort (n=9000),719439,1329012,421572,232,8126,1.85,0.1%,6.1e-03,0.000592,2.2%,2.8%,4.6%,28.5%,0.29%
   QckSort (n=10000),789683,1465901,474247,249,8894,1.86,0.1%,6.1e-03,0.000596,2.7%,3.2%,6.4%,39.5%,0.52%
   QckSort (n=11000),899619,1655143,525073,412,9878,1.84,0.1%,6.0e-03,0.000720,5.0%,5.0%,9.2%,26.7%,1.45%
   QckSort (n=12000),961098,1738991,543735,336,10458,1.81,0.1%,6.0e-03,0.000850,1.0%,1.5%,0.6%,7.4%,0.51%
   QckSort (n=13000),1075278,1938502,602842,427,11186,1.80,0.1%,5.8e-03,0.000893,1.4%,1.3%,3.7%,9.6%,0.75%
   QckSort (n=14000),1182823,2198591,712017,515,11803,1.86,0.1%,5.4e-03,0.000895,3.1%,3.7%,6.5%,18.9%,1.06%
   QckSort (n=15000),1241167,2270084,708012,463,12593,1.83,0.1%,5.5e-03,0.000973,3.0%,3.4%,5.7%,6.3%,0.65%
   QckSort (n=16000),1342781,2546126,800973,578,13283,1.90,0.1%,5.2e-03,0.000968,2.5%,3.4%,7.5%,1.6%,0.54%
   QckSort (n=17000),1450503,2646187,834036,676,14042,1.82,0.1%,5.3e-03,0.001333,3.8%,0.6%,0.5%,7.1%,1.09%
   QckSort (n=18000),1510522,2866354,882727,780,14676,1.90,0.1%,5.1e-03,0.001121,4.1%,4.6%,5.0%,8.8%,0.83%
   QckSort (n=19000),1587318,2962606,926076,712,15328,1.87,0.1%,5.2e-03,0.001159,1.5%,1.5%,2.2%,18.0%,0.51%
   QckSort (n=20000),1712369,3206653,982140,821,15923,1.87,0.1%,5.0e-03,0.001249,3.0%,3.2%,3.9%,18.1%,1.08%
