Workload,Cycles,Instructions,CacheRefs,CacheMiss,IPC,Miss%,Time(s)
Insertion Sort (n=10000),409573270,626650939,326013986,37911,1.53,0.0% ,0.353004
Insertion Sort (n=12000),589938773,901144570,468834202,83694,1.53,0.0% ,0.472508
Insertion Sort (n=14000),802213443,1229646068,639833929,162262,1.53,0.0% ,0.614854
Insertion Sort (n=16000),1055101276,1604311218,834931587,282044,1.52,0.0% ,0.893901
Insertion Sort (n=18000),1351656820,2029149159,1055997491,387123,1.50,0.0% ,1.885518
Insertion Sort (n=20000),1636431384,2499985894,1301456642,516057,1.53,0.0% ,1.219807
Bubble Sort (n=10000),1342737338,1745897687,1009866679,179501,1.30,0.0% ,0.927048
Bubble Sort (n=12000),1968656381,2528945855,1467215938,320975,1.28,0.0% ,1.349284
Bubble Sort (n=14000),2697888877,3431281471,1994858710,465671,1.27,0.0% ,1.863154
Bubble Sort (n=16000),3547441086,4490587583,2616612613,621355,1.27,0.0% ,2.472107
Bubble Sort (n=18000),4501107651,5666199527,3301941263,783241,1.26,0.0% ,3.126155
Bubble Sort (n=20000),5600294979,7012706287,4095404927,962567,1.25,0.0% ,3.906091
Quick Sort (n=10000),4465488,4570066,3222167,371,1.02,0.0% ,0.003163
Quick Sort (n=12000),5436476,5746741,4024850,253,1.06,0.0% ,0.003732
Quick Sort (n=14000),6731370,7162351,4984453,501,1.06,0.0% ,0.004845
Quick Sort (n=16000),7837076,8321611,5788088,726,1.06,0.0% ,0.005503
Quick Sort (n=18000),8614547,8879386,6277491,640,1.03,0.0% ,0.006238
Quick Sort (n=20000),9862055,10459141,7252175,678,1.06,0.0% ,0.006974
