timestamp,N,E,quicksort_time,qsort_time
20260823_221654,10000,20,0.000445,0.001385
20260823_221654,11000,20,0.000493,0.001554
20260823_221654,12000,20,0.000563,0.001766
20260823_221654,13000,20,0.000622,0.001863
20260823_221654,14000,20,0.000647,0.002046
20260823_221654,15000,20,0.000702,0.002115
20260823_221654,16000,20,0.000729,0.002293
20260823_221654,17000,20,0.000901,0.002658
20260823_221654,18000,20,0.000943,0.002634
20260823_221654,19000,20,0.000920,0.003128
20260823_221654,20000,20,0.001021,0.002937
20260823_221654,21000,20,0.001066,0.003198
20260823_221654,22000,20,0.001107,0.003338
20260823_221654,23000,20,0.001155,0.003384
20260823_221654,24000,20,0.001184,0.003588
20260823_221654,25000,20,0.001253,0.003821
20260823_221654,26000,20,0.001257,0.003974
20260823_221654,27000,20,0.001282,0.004004
20260823_221654,28000,20,0.001320,0.004301
20260823_221654,29000,20,0.001648,0.004401
20260823_221654,30000,20,0.001439,0.004429
20260823_221654,31000,20,0.001620,0.004983
20260823_221654,32000,20,0.001597,0.004714
20260823_221654,33000,20,0.001636,0.004811
20260823_221654,34000,20,0.001931,0.004843
20260823_221654,35000,20,0.001767,0.005048
20260823_221654,36000,20,0.001808,0.005969
20260823_221654,37000,20,0.001922,0.005315
20260823_221654,38000,20,0.002000,0.005682
20260823_221654,39000,20,0.002025,0.005650
20260823_221654,40000,20,0.002034,0.006255
