timestamp,N,E,quicksort_time,qsort_time
20260822_230908,10000,20,0.000444,0.001336
20260822_230908,11000,20,0.000505,0.001568
20260822_230908,12000,20,0.000523,0.001724
20260822_230908,13000,20,0.000642,0.001879
20260822_230908,14000,20,0.000650,0.002086
20260822_230908,15000,20,0.000701,0.002250
20260822_230908,16000,20,0.000734,0.002199
20260822_230908,17000,20,0.000838,0.002433
20260822_230908,18000,20,0.000897,0.002715
20260822_230908,19000,20,0.001452,0.002740
20260822_230908,20000,20,0.000959,0.002905
20260822_230908,21000,20,0.000962,0.003065
20260822_230908,22000,20,0.001104,0.003434
20260822_230908,23000,20,0.001137,0.003645
20260822_230908,24000,20,0.001246,0.003856
20260822_230908,25000,20,0.001290,0.003975
20260822_230908,26000,20,0.001314,0.003960
20260822_230908,27000,20,0.001440,0.004213
20260822_230908,28000,20,0.001422,0.004142
20260822_230908,29000,20,0.001397,0.004228
20260822_230908,30000,20,0.001586,0.004509
20260822_230908,31000,20,0.001657,0.004715
20260822_230908,32000,20,0.001564,0.004622
20260822_230908,33000,20,0.001589,0.005339
20260822_230908,34000,20,0.001692,0.004923
20260822_230908,35000,20,0.001737,0.005369
20260822_230908,36000,20,0.001778,0.005596
20260822_230908,37000,20,0.001793,0.005617
20260822_230908,38000,20,0.002055,0.006287
20260822_230908,39000,20,0.002053,0.005898
20260822_230908,40000,20,0.001952,0.005764
