timestamp,N,E,insertion_sort_time,bubble_sort_time,quicksort_time
20260822_211245,10000,5,0.042647,0.225190,0.000526
20260822_211245,11000,5,0.051501,0.271299,0.000491
20260822_211245,12000,5,0.062050,0.326029,0.000543
20260822_211245,13000,5,0.071666,0.380316,0.000576
20260822_211245,14000,5,0.084028,0.442137,0.000677
20260822_211245,15000,5,0.096064,0.505424,0.000722
20260822_211245,16000,5,0.108287,0.571855,0.000757
20260822_211245,17000,5,0.123000,0.644981,0.000820
20260822_211245,18000,5,0.138536,0.725226,0.000819
20260822_211245,19000,5,0.154470,0.806371,0.000874
20260822_211245,20000,5,0.170135,0.892518,0.001034
