timestamp,N,E,insertion_sort_time,bubble_sort_time,quicksort_time
20260820_214759,10000,5,0.042895,0.224871,0.000484
20260820_214759,11000,5,0.052775,0.273747,0.000515
20260820_214759,12000,5,0.062095,0.326764,0.000537
20260820_214759,13000,5,0.071845,0.379661,0.000599
20260820_214759,14000,5,0.084967,0.440471,0.000647
20260820_214759,15000,5,0.095401,0.505838,0.000686
20260820_214759,16000,5,0.108053,0.571805,0.000722
20260820_214759,17000,5,0.122535,0.645709,0.000800
20260820_214759,18000,5,0.138067,0.724088,0.000804
20260820_214759,19000,5,0.153212,0.806598,0.000949
20260820_214759,20000,5,0.170887,0.894230,0.000919
