timestamp,N,E,quicksort_time,qsort_time
20260822_230758,10000,5,0.000452,0.001651
20260822_230758,11000,5,0.000561,0.001504
20260822_230758,12000,5,0.000549,0.001653
20260822_230758,13000,5,0.000571,0.001811
20260822_230758,14000,5,0.000676,0.002069
20260822_230758,15000,5,0.000707,0.002208
20260822_230758,16000,5,0.000737,0.002323
20260822_230758,17000,5,0.000914,0.002657
20260822_230758,18000,5,0.000881,0.002714
20260822_230758,19000,5,0.000941,0.002871
20260822_230758,20000,5,0.000966,0.003106
20260822_230758,21000,5,0.001006,0.003043
20260822_230758,22000,5,0.001313,0.003374
20260822_230758,23000,5,0.001225,0.003921
20260822_230758,24000,5,0.001242,0.003775
20260822_230758,25000,5,0.001239,0.003762
20260822_230758,26000,5,0.001240,0.004041
20260822_230758,27000,5,0.001366,0.004302
20260822_230758,28000,5,0.001418,0.004325
20260822_230758,29000,5,0.001633,0.004756
20260822_230758,30000,5,0.001488,0.004690
20260822_230758,31000,5,0.001646,0.004752
20260822_230758,32000,5,0.001734,0.005007
20260822_230758,33000,5,0.001660,0.005092
20260822_230758,34000,5,0.001936,0.005283
20260822_230758,35000,5,0.001812,0.005710
20260822_230758,36000,5,0.001931,0.005514
20260822_230758,37000,5,0.002055,0.006020
20260822_230758,38000,5,0.002043,0.005802
20260822_230758,39000,5,0.001940,0.006028
20260822_230758,40000,5,0.002472,0.006157
